asset_id,duration,event_observed,asset_age,avg_temperature,vibration_score,load_factor,maintenance_quality
asset_0456,30.55,1,20.8,71.45,1.803,0.826,medium
asset_0457,25.67,1,26.01,73.14,1.684,0.79,medium
asset_0458,15.19,1,30.42,68.94,1.592,0.723,medium
asset_0459,88.04,0,19.26,63.99,1.168,0.778,high
asset_0460,92.32,1,38.69,58.78,1.364,0.818,medium
asset_0461,26.21,1,47.21,77.7,1.971,0.893,medium
asset_0462,5.04,1,57.3,64.95,0.911,0.825,low
asset_0463,54.05,1,55.57,99.54,0.921,0.564,medium
asset_0464,65.61,1,24.73,62.23,1.325,0.506,low
asset_0465,3.94,1,31.2,60.68,1.472,0.715,low
asset_0466,56.17,1,26.86,76.59,0.843,0.885,medium
asset_0467,5.45,1,26.81,85.76,1.181,0.875,medium
asset_0468,72.73,0,25.92,72.58,1.171,0.702,high
asset_0469,81.69,0,29.43,77.15,0.451,0.628,medium
asset_0470,27.91,1,51.05,55.41,1.106,0.601,high
asset_0471,96.76,0,34.34,65.9,1.138,0.887,medium
asset_0472,45.12,1,15.0,62.34,1.136,0.735,medium
asset_0473,53.01,1,46.22,54.94,2.31,0.826,high
asset_0474,40.3,1,32.7,73.05,0.707,0.778,medium
asset_0475,25.98,1,37.51,51.81,0.843,0.557,high
asset_0476,11.89,1,33.99,60.1,0.377,0.802,medium
asset_0477,57.95,0,34.78,67.17,0.984,0.709,medium
asset_0478,50.3,1,35.6,64.52,1.022,0.267,medium
asset_0479,41.55,1,10.06,75.57,0.971,0.601,low
asset_0480,48.03,1,37.27,74.75,2.011,0.585,low
asset_0481,28.21,1,19.72,80.04,1.799,0.845,medium
asset_0482,55.18,1,22.53,78.77,1.265,0.539,low
asset_0483,77.75,0,29.3,82.27,1.034,0.886,medium
asset_0484,58.62,1,61.73,71.98,1.938,0.566,high
asset_0485,30.58,1,16.5,74.73,1.211,0.71,medium
asset_0486,35.78,1,28.79,76.6,0.845,0.884,high
asset_0487,47.32,0,25.59,73.27,0.564,0.798,medium
asset_0488,17.35,1,45.89,68.43,1.001,0.755,low
asset_0489,42.18,0,25.21,69.01,1.715,0.764,low
asset_0490,105.67,0,32.89,64.64,3.402,0.66,high
asset_0491,41.52,1,16.53,75.79,1.256,0.775,medium
asset_0492,54.03,0,49.72,71.15,0.866,0.75,high
asset_0493,142.93,0,12.54,66.03,0.717,0.404,medium
asset_0494,18.08,1,37.02,66.04,1.566,0.677,medium
asset_0495,110.64,0,32.99,61.11,0.552,0.816,high
asset_0496,67.61,1,35.45,80.81,1.565,0.749,high
asset_0497,22.25,1,12.65,72.71,1.765,0.793,low
asset_0498,91.7,1,24.94,64.23,1.486,0.644,high
asset_0499,49.26,1,44.79,79.28,1.106,0.621,medium
asset_0500,34.15,1,66.3,66.96,1.575,0.721,high
asset_0501,77.72,0,27.68,59.34,1.319,0.759,medium
asset_0502,67.43,1,42.72,81.19,0.861,0.831,medium
asset_0503,56.76,1,31.38,67.17,2.809,0.767,medium
asset_0504,72.27,1,28.43,68.32,1.043,0.852,high
asset_0505,40.37,0,23.43,72.37,1.732,0.565,medium
asset_0506,67.1,0,29.38,82.28,0.411,0.569,medium
asset_0507,16.18,1,40.84,72.18,2.169,0.721,medium
asset_0508,36.67,1,42.51,61.21,2.365,0.617,high
asset_0509,37.06,1,14.19,76.89,1.238,0.835,medium
asset_0510,70.95,1,22.31,67.64,1.571,0.515,medium
asset_0511,61.32,1,16.06,88.99,1.57,0.711,medium
asset_0512,24.11,1,30.14,71.99,0.915,0.85,medium
asset_0513,131.72,0,24.47,51.88,1.562,0.873,medium
asset_0514,54.42,0,34.85,75.22,0.849,0.87,medium
asset_0515,60.54,0,36.07,89.5,0.929,0.569,high
asset_0516,76.42,1,7.01,86.18,2.028,0.67,medium
asset_0517,34.71,1,29.26,88.48,1.894,0.606,low
asset_0518,24.97,1,51.55,62.82,0.889,0.669,medium
asset_0519,46.66,1,22.32,80.21,0.878,0.774,low
asset_0520,38.24,1,21.97,65.5,0.913,0.884,low
asset_0521,81.01,0,47.18,74.02,1.698,0.854,high
asset_0522,79.63,1,43.49,60.54,0.779,0.898,medium
asset_0523,113.41,1,17.0,66.2,1.434,0.856,medium
asset_0524,35.77,1,41.39,65.91,1.709,0.754,high
asset_0525,57.24,1,19.14,80.09,1.174,0.823,medium
asset_0526,41.28,1,21.84,79.21,1.924,0.646,low
asset_0527,88.16,1,16.99,74.49,1.065,0.951,low
asset_0528,98.17,1,14.13,59.85,1.109,0.766,medium
asset_0529,85.07,1,31.05,69.2,0.787,0.855,medium
asset_0530,72.73,1,12.89,65.28,1.93,0.909,high
asset_0531,43.08,1,31.69,79.83,0.865,0.881,medium
asset_0532,20.49,1,31.18,82.6,1.43,0.533,medium
asset_0533,35.73,1,27.04,81.51,1.183,0.696,medium
asset_0534,48.75,1,22.88,65.2,0.761,0.748,low
asset_0535,129.96,0,20.53,47.34,0.929,0.467,medium
asset_0536,75.77,1,15.79,56.1,2.276,0.625,medium
asset_0537,19.33,1,57.51,84.79,1.337,0.833,low
asset_0538,46.44,1,26.42,68.39,0.776,0.816,high
asset_0539,62.41,0,25.96,65.24,1.401,0.463,high
asset_0540,30.53,1,17.45,86.78,1.144,0.665,medium
asset_0541,9.72,1,54.53,83.39,5.78,0.86,medium
asset_0542,56.1,1,21.23,72.22,1.389,0.507,medium
asset_0543,103.23,1,33.23,69.36,1.029,0.686,low
asset_0544,10.41,1,36.47,70.81,2.314,0.859,low
asset_0545,61.95,0,31.06,74.04,0.533,0.737,medium
asset_0546,77.96,0,12.71,86.4,1.274,0.731,high
asset_0547,7.98,1,40.52,75.8,2.997,0.83,medium
asset_0548,41.69,1,21.12,78.53,1.159,0.923,medium
asset_0549,49.92,1,43.27,82.52,0.56,0.791,medium
asset_0550,21.47,1,20.39,61.47,1.022,0.61,medium
asset_0551,2.64,1,28.32,78.79,2.35,0.645,low
asset_0552,20.65,1,37.58,69.35,1.447,0.532,medium
asset_0553,17.0,1,52.77,49.36,0.837,0.631,high
asset_0554,53.72,1,39.78,52.85,0.897,0.901,high
asset_0555,71.15,0,38.04,62.84,0.949,0.818,high
asset_0556,39.24,1,41.43,76.78,1.437,0.543,low
asset_0557,48.3,1,18.77,73.02,2.23,0.877,medium
asset_0558,10.59,1,44.18,73.66,1.961,0.863,medium
asset_0559,42.18,1,25.37,89.56,1.5,0.565,low
asset_0560,45.88,0,25.8,60.58,0.671,0.641,low
asset_0561,126.48,0,30.56,71.75,0.672,0.583,high
asset_0562,40.94,1,24.14,74.74,1.553,0.976,medium
asset_0563,176.07,0,16.65,65.37,0.667,0.675,medium
asset_0564,34.41,1,29.38,72.25,1.104,0.71,medium
asset_0565,74.47,0,25.87,57.6,1.401,0.716,medium
asset_0566,38.43,1,25.39,84.69,0.732,0.803,low
asset_0567,29.15,1,27.85,65.87,0.77,0.5,low
asset_0568,45.33,0,7.51,90.28,1.171,0.615,medium
asset_0569,25.4,1,25.49,71.71,1.532,0.814,medium
asset_0570,18.27,1,56.0,81.25,1.969,0.68,high
asset_0571,119.45,0,53.83,71.52,1.605,0.642,medium
asset_0572,33.16,1,29.91,71.72,1.263,0.831,low
asset_0573,63.41,1,29.39,66.74,0.873,0.921,low
asset_0574,51.39,1,6.22,73.07,0.754,0.829,medium
asset_0575,62.46,0,21.77,74.86,0.971,0.685,low
asset_0576,24.87,1,41.23,64.94,1.469,0.788,low
asset_0577,100.21,1,23.83,70.87,1.421,0.884,medium
asset_0578,77.14,0,48.11,66.51,0.475,0.542,medium
asset_0579,55.06,1,46.69,92.7,0.858,0.693,medium
asset_0580,61.33,0,21.55,71.19,2.1,0.747,medium
asset_0581,51.71,1,31.06,85.91,1.266,0.809,low
asset_0582,22.28,1,58.18,70.24,0.646,0.923,high
asset_0583,56.36,1,12.53,74.33,3.526,0.652,medium
asset_0584,43.41,0,24.11,60.11,1.206,0.856,medium
asset_0585,57.55,1,11.77,67.98,1.452,0.723,low
asset_0586,51.08,1,18.02,73.89,1.462,0.768,medium
asset_0587,60.29,1,66.5,86.27,1.035,0.77,medium
asset_0588,52.94,1,24.11,74.0,0.88,0.555,medium
asset_0589,23.82,1,8.74,84.45,3.173,0.654,medium
asset_0590,131.05,0,16.55,77.77,1.918,0.491,high
asset_0591,21.33,1,11.01,86.65,1.768,0.802,medium
asset_0592,54.6,0,31.67,71.47,1.583,0.845,high
asset_0593,41.41,1,36.2,93.51,0.778,0.693,high
asset_0594,45.88,1,44.47,67.63,2.17,0.67,medium
asset_0595,44.14,1,40.14,65.1,0.836,0.861,medium
asset_0596,114.97,1,12.9,61.11,1.387,0.794,medium
asset_0597,16.63,1,35.29,92.98,0.584,0.847,high
asset_0598,85.13,0,27.23,79.38,0.488,0.704,medium
asset_0599,23.17,1,47.63,68.99,1.409,0.855,medium
asset_0600,42.44,1,42.39,83.24,0.849,0.791,low
asset_0601,42.45,1,70.78,78.19,0.499,0.689,high
asset_0602,42.4,1,17.31,89.7,1.558,0.635,low
asset_0603,85.49,1,15.92,58.07,3.171,0.757,low
asset_0604,57.8,1,22.5,69.61,2.283,0.702,medium
asset_0605,56.67,0,27.79,67.84,1.088,0.653,medium
asset_0606,71.93,1,20.17,54.24,1.226,0.887,high
asset_0607,83.32,1,17.82,81.54,1.821,0.817,high
asset_0608,17.08,1,34.13,69.57,2.024,0.849,low
asset_0609,91.45,1,22.46,78.66,1.046,0.341,medium
asset_0610,75.26,1,19.7,93.24,1.24,0.837,high
asset_0611,3.21,1,12.88,68.82,1.398,0.707,medium
asset_0612,44.3,1,6.6,68.21,1.567,0.818,low
asset_0613,42.72,1,54.67,73.07,1.15,0.427,medium
asset_0614,52.5,1,53.88,80.89,1.157,0.627,medium
asset_0615,42.11,1,43.03,66.9,2.273,0.723,high
asset_0616,60.66,0,38.11,66.32,2.105,0.729,medium
asset_0617,49.98,1,21.36,81.51,1.514,0.72,low
asset_0618,47.01,1,38.89,75.41,2.647,0.869,medium
asset_0619,97.14,1,15.28,53.6,1.026,0.658,medium
asset_0620,83.83,0,30.68,60.97,2.535,0.721,high
asset_0621,26.97,1,18.79,85.51,1.559,0.579,medium
asset_0622,30.78,1,38.97,75.62,5.323,0.794,low
asset_0623,30.59,1,60.11,65.14,0.714,0.827,medium
asset_0624,75.23,1,16.51,70.47,0.896,0.792,medium
asset_0625,102.6,1,21.93,72.12,1.475,0.789,medium
asset_0626,46.35,1,30.39,78.62,1.46,0.828,medium
asset_0627,49.31,1,9.44,59.78,2.938,0.761,high
asset_0628,110.53,0,11.34,64.43,0.904,0.873,high
asset_0629,14.98,1,59.24,74.46,1.835,0.616,medium
asset_0630,14.33,1,34.21,71.1,2.061,0.509,low
asset_0631,42.65,1,20.72,77.15,1.677,0.684,medium
asset_0632,117.92,0,28.75,60.93,0.793,0.925,medium
asset_0633,50.38,1,22.55,75.21,2.301,0.508,low
asset_0634,40.08,1,30.85,81.82,2.124,0.953,high
asset_0635,34.48,1,23.0,76.38,1.6,0.603,high
asset_0636,44.15,1,27.6,73.25,1.339,0.718,low
asset_0637,53.72,0,40.69,71.14,1.352,0.69,high
asset_0638,52.44,1,39.4,64.49,1.179,0.84,medium
asset_0639,24.98,1,57.61,71.35,1.63,0.816,medium
asset_0640,31.09,1,35.43,83.34,1.239,0.684,medium
asset_0641,7.82,1,29.69,70.93,0.834,0.888,low
asset_0642,28.23,1,61.81,63.99,0.762,0.934,low
asset_0643,112.61,1,26.12,67.57,0.871,0.831,high
asset_0644,34.78,1,7.06,73.81,1.35,0.721,medium
asset_0645,17.52,1,43.29,68.64,1.207,0.767,medium
asset_0646,54.2,1,33.34,76.37,1.346,0.668,medium
asset_0647,78.61,0,28.98,76.71,1.53,0.6,high
asset_0648,10.43,1,43.86,80.0,0.921,0.507,medium
asset_0649,18.07,1,23.11,84.81,2.362,0.689,high
asset_0650,92.17,1,7.31,80.96,1.083,0.638,high
asset_0651,88.72,0,44.28,63.59,1.005,0.861,medium
asset_0652,70.14,1,20.32,63.87,1.518,0.863,medium
asset_0653,87.99,1,16.89,71.32,0.534,0.692,medium
asset_0654,125.09,0,7.59,67.94,0.856,0.632,high
asset_0655,104.64,1,42.46,61.76,1.899,0.641,medium
asset_0656,55.41,1,5.38,68.02,0.559,0.979,low
asset_0657,74.89,1,52.56,67.73,2.02,0.571,low
asset_0658,63.42,1,24.33,65.95,2.411,0.863,medium
asset_0659,50.3,1,43.47,69.16,1.034,0.659,high
asset_0660,19.2,1,35.97,82.61,1.393,0.885,high
asset_0661,16.63,1,67.41,73.79,2.021,0.49,medium
asset_0662,24.59,1,35.48,94.25,0.99,0.688,low
asset_0663,10.42,1,51.61,73.53,1.805,0.839,low
asset_0664,73.6,0,21.55,69.39,0.903,0.625,high
asset_0665,45.11,1,11.31,72.04,0.985,0.721,medium
asset_0666,163.42,1,46.79,74.31,0.852,0.474,high
asset_0667,70.44,1,11.1,75.92,1.425,0.462,low
asset_0668,51.57,1,42.23,90.69,2.057,0.803,medium
asset_0669,29.08,1,15.76,64.39,1.124,0.803,high
asset_0670,43.68,1,33.67,79.73,0.689,0.79,low
asset_0671,16.43,1,68.03,73.87,0.75,0.791,low
asset_0672,60.95,0,40.61,57.86,1.459,0.87,medium
asset_0673,56.65,1,26.18,78.94,2.801,0.795,medium
asset_0674,28.69,1,36.39,83.41,1.458,0.786,high
asset_0675,147.52,0,21.98,64.29,1.026,0.571,high
asset_0676,50.3,1,80.85,71.92,1.724,0.751,high
asset_0677,99.75,1,19.48,56.47,1.097,0.49,low
asset_0678,121.7,0,27.69,60.67,1.03,0.566,medium
asset_0679,68.2,0,38.82,81.43,0.793,0.529,high
asset_0680,47.85,0,35.07,67.8,2.302,0.425,medium
asset_0681,91.73,0,37.07,62.02,0.39,0.729,high
asset_0682,11.66,1,22.23,74.07,1.749,0.779,medium
asset_0683,55.37,1,25.61,67.3,0.991,0.428,low
asset_0684,67.77,1,45.73,67.76,1.015,0.641,medium
asset_0685,35.51,1,44.62,78.65,2.616,0.701,medium
asset_0686,30.47,1,35.49,61.54,0.886,0.526,low
asset_0687,49.73,0,54.76,63.85,0.899,0.848,medium
asset_0688,50.73,1,46.63,73.39,1.152,0.907,medium
asset_0689,50.57,1,43.96,80.72,1.471,0.679,low
asset_0690,60.91,0,10.97,83.14,1.001,0.727,medium
asset_0691,152.77,0,35.28,66.01,0.602,0.722,medium
asset_0692,58.8,1,32.13,80.44,0.827,0.591,high
asset_0693,31.83,1,58.19,64.94,2.174,0.608,medium
asset_0694,144.93,0,3.69,88.44,1.263,0.333,high
asset_0695,25.43,1,26.88,61.8,1.496,0.866,high
asset_0696,48.74,1,30.8,83.96,1.086,0.793,medium
asset_0697,24.94,1,15.64,66.09,0.908,0.947,low
asset_0698,27.14,1,17.42,90.12,2.598,0.622,high
asset_0699,44.79,0,58.28,77.32,1.122,0.61,medium
asset_0700,39.42,1,37.0,62.86,1.0,0.781,high
asset_0701,17.15,1,68.11,67.3,2.0,0.528,medium
asset_0702,70.07,1,26.63,79.03,0.882,0.861,medium
asset_0703,8.39,1,12.6,81.47,0.935,0.764,medium
asset_0704,21.84,1,24.64,71.36,1.227,0.591,medium
asset_0705,66.65,0,22.43,72.4,1.222,0.604,high
asset_0706,53.73,1,41.31,78.83,1.373,0.631,low
asset_0707,21.96,1,40.49,73.19,3.131,0.631,high
asset_0708,86.46,1,37.92,60.36,1.421,0.449,low
asset_0709,61.56,1,78.46,64.68,0.419,0.974,high
asset_0710,4.55,1,53.2,74.12,1.415,0.568,high
asset_0711,2.26,1,18.12,82.94,1.242,0.751,medium
asset_0712,38.67,1,47.38,86.54,1.246,0.624,low
asset_0713,46.03,1,29.76,79.02,1.364,0.466,high
asset_0714,84.4,1,26.24,74.59,1.206,0.347,high
asset_0715,4.15,1,56.46,78.74,1.193,0.887,medium
asset_0716,79.77,1,17.47,66.0,1.609,0.71,medium
asset_0717,74.28,1,45.83,70.62,0.957,0.568,high
asset_0718,57.35,1,42.3,64.58,0.797,0.818,low
asset_0719,13.1,1,17.28,60.76,4.762,0.874,medium
asset_0720,13.53,1,10.74,75.0,0.885,0.569,medium
asset_0721,17.13,1,28.07,73.67,1.278,0.655,low
asset_0722,103.42,0,3.36,78.19,0.623,0.817,high
asset_0723,89.77,1,50.07,76.92,1.287,0.772,medium
asset_0724,31.76,1,35.21,74.18,0.803,0.775,high
asset_0725,75.24,1,57.35,77.01,1.001,0.888,medium
asset_0726,66.38,1,34.0,71.62,1.955,0.42,medium
asset_0727,64.76,0,59.24,75.72,1.51,0.543,medium
asset_0728,24.3,1,21.15,65.46,1.577,0.237,medium
asset_0729,84.76,1,37.86,75.33,0.55,0.933,high
asset_0730,42.79,1,23.69,78.02,2.792,0.862,medium
asset_0731,35.97,1,27.62,65.97,0.714,0.711,high
asset_0732,14.68,1,30.75,72.47,2.43,0.704,medium
asset_0733,36.05,1,35.15,66.39,1.934,0.803,medium
asset_0734,41.37,1,19.57,67.26,1.584,0.916,low
asset_0735,55.75,0,36.95,61.88,0.831,0.755,high
asset_0736,55.12,0,29.95,83.39,1.308,0.674,medium
asset_0737,49.43,0,13.04,81.59,0.988,0.693,medium
asset_0738,91.43,0,9.73,76.84,1.237,0.781,medium
asset_0739,18.89,1,50.16,89.75,1.092,0.579,medium
asset_0740,74.24,0,6.54,70.3,0.488,0.511,medium
asset_0741,14.62,1,26.91,99.29,2.023,0.809,medium
asset_0742,40.88,0,12.19,69.95,1.178,0.792,high
asset_0743,46.96,1,63.99,74.3,0.982,0.4,low
asset_0744,56.68,0,38.84,68.42,0.949,0.83,medium
asset_0745,57.97,0,34.68,75.35,1.435,0.632,low
asset_0746,40.63,0,18.6,79.52,0.817,0.77,high
asset_0747,137.49,0,12.93,70.97,0.443,0.482,medium
asset_0748,11.59,1,32.16,87.99,1.467,0.428,medium
asset_0749,31.15,1,28.99,74.15,1.543,0.716,high
asset_0750,22.19,1,15.79,74.43,1.116,0.514,medium
asset_0751,109.58,1,15.46,63.82,0.729,0.398,medium
asset_0752,109.54,1,15.01,75.77,1.271,0.605,medium
asset_0753,44.88,1,14.7,70.79,0.632,0.764,low
asset_0754,55.1,0,20.77,66.53,0.769,0.38,high
asset_0755,49.02,1,34.69,65.01,0.871,0.915,medium
asset_0756,54.86,1,37.66,96.05,1.786,0.851,high
asset_0757,146.87,1,28.68,69.63,1.038,0.575,high
asset_0758,127.39,0,31.41,58.89,0.998,0.763,high
asset_0759,18.32,1,38.56,65.72,2.944,0.612,medium
asset_0760,33.19,1,8.14,71.54,1.431,0.681,low
asset_0761,10.93,1,32.67,76.92,1.423,0.582,medium
asset_0762,19.56,1,54.37,76.99,1.034,0.689,high
asset_0763,37.69,1,26.54,78.09,0.934,0.844,high
asset_0764,60.32,0,49.16,66.2,0.457,0.761,high
asset_0765,56.45,1,26.8,75.06,1.889,0.562,low
asset_0766,41.77,1,39.84,64.12,1.494,0.673,low
asset_0767,74.08,0,34.33,66.42,1.127,0.945,high
asset_0768,43.6,0,14.86,63.74,1.148,0.466,low
asset_0769,116.43,1,16.95,61.3,1.701,0.786,medium
asset_0770,30.54,1,59.23,81.58,0.607,0.527,medium
asset_0771,8.47,1,44.17,78.2,0.937,0.779,medium
asset_0772,70.48,1,27.75,80.79,0.732,0.563,medium
asset_0773,43.65,1,25.86,72.35,2.711,0.623,high
asset_0774,39.76,1,18.67,78.99,1.811,0.627,high
asset_0775,147.54,1,35.82,56.15,0.453,0.426,medium
asset_0776,53.58,1,19.58,79.77,0.618,0.961,medium
asset_0777,40.32,0,24.08,73.59,1.151,0.702,high
asset_0778,43.36,1,20.72,77.64,0.987,0.967,medium
asset_0779,18.84,1,42.81,75.42,0.673,0.786,medium
asset_0780,5.0,1,27.16,63.12,2.93,0.655,medium
asset_0781,43.32,1,31.53,58.52,1.406,0.753,medium
asset_0782,48.42,1,15.04,65.59,1.512,0.56,low
asset_0783,60.4,0,20.64,77.08,0.895,0.624,high
asset_0784,32.42,1,31.89,78.21,1.69,0.946,medium
asset_0785,68.72,1,11.12,59.69,1.029,0.792,low
asset_0786,36.85,1,26.09,63.17,1.075,0.77,medium
asset_0787,141.46,1,29.14,65.49,1.608,0.528,high
asset_0788,108.84,0,13.93,68.78,0.587,0.794,medium
asset_0789,109.32,1,48.08,59.74,2.506,0.806,medium
asset_0790,104.99,1,34.95,59.2,1.326,0.593,low
asset_0791,129.34,1,27.05,64.6,2.174,0.867,high
asset_0792,29.25,1,19.83,72.78,0.753,0.76,high
asset_0793,99.86,0,10.85,61.37,0.806,0.802,medium
asset_0794,8.95,1,46.28,70.96,0.724,0.841,medium
asset_0795,127.52,0,22.89,81.53,1.367,0.823,medium
asset_0796,93.67,1,12.6,60.28,1.258,0.797,high
asset_0797,32.1,1,19.52,70.14,0.991,0.942,high
asset_0798,20.73,1,36.83,81.22,0.774,0.913,high
asset_0799,58.32,0,33.14,68.24,0.691,0.779,medium
asset_0800,84.85,1,15.83,66.84,1.195,0.677,medium
asset_0801,1.84,1,50.33,82.47,0.991,0.888,medium
asset_0802,89.14,0,12.5,69.24,0.897,0.587,high
asset_0803,34.71,1,55.44,81.94,2.45,0.79,medium
asset_0804,53.56,1,32.43,75.86,1.177,0.734,medium
asset_0805,21.77,1,23.84,68.91,2.163,0.816,medium
asset_0806,27.55,1,25.63,76.32,0.961,0.833,medium
asset_0807,61.04,1,30.55,74.88,1.364,0.403,high
asset_0808,41.92,1,38.26,81.19,1.191,0.462,low
asset_0809,64.49,0,9.66,67.06,0.569,0.733,medium
asset_0810,61.58,1,19.16,72.37,2.323,0.559,medium
asset_0811,27.13,1,30.05,71.45,1.149,0.921,medium
asset_0812,44.91,0,51.28,78.34,1.709,0.859,high
asset_0813,63.47,0,50.32,62.77,0.871,0.393,medium
asset_0814,17.53,1,61.07,81.15,1.134,0.767,medium
asset_0815,22.18,1,49.14,76.2,0.827,0.417,low
asset_0816,8.36,1,18.36,60.15,2.13,0.947,medium
asset_0817,65.49,1,29.07,82.87,1.405,0.615,high
asset_0818,6.28,1,49.28,92.11,1.441,0.836,high
asset_0819,82.46,1,46.92,81.02,2.251,0.917,medium
asset_0820,68.15,1,26.32,84.84,2.055,0.762,medium
asset_0821,15.62,1,37.73,72.77,1.724,0.868,medium
asset_0822,37.62,1,22.82,57.05,0.644,0.967,low
asset_0823,44.66,1,11.9,55.4,0.893,0.899,low
asset_0824,14.37,1,27.55,74.3,0.777,0.889,low
asset_0825,49.03,0,26.68,66.67,1.695,0.86,low
asset_0826,54.67,0,22.24,63.77,1.319,0.672,high
asset_0827,34.81,1,38.34,71.44,0.653,0.894,medium
asset_0828,95.61,1,25.86,77.54,1.122,0.898,high
asset_0829,128.09,1,35.7,58.93,0.624,0.857,high
asset_0830,39.42,1,42.42,67.96,1.193,0.697,medium
asset_0831,27.5,1,83.2,85.59,0.58,0.718,medium
asset_0832,65.83,0,27.79,62.32,1.55,0.825,high
asset_0833,72.88,1,51.63,79.83,1.448,0.613,low
asset_0834,71.12,1,32.9,67.64,2.882,0.549,medium
asset_0835,22.01,1,33.87,76.91,1.789,0.91,medium
asset_0836,67.62,1,27.99,81.88,1.01,0.85,high
asset_0837,67.79,0,31.45,78.67,1.765,0.288,high
asset_0838,39.86,1,25.99,80.18,0.651,0.91,high
asset_0839,91.45,1,47.23,61.64,0.792,0.723,medium
asset_0840,18.9,1,19.56,82.02,1.419,0.861,medium
asset_0841,57.41,0,11.83,64.33,0.462,0.682,high
asset_0842,111.83,1,21.84,74.34,1.201,0.788,high
asset_0843,151.87,0,20.59,74.32,0.772,0.782,medium
asset_0844,69.97,1,21.84,76.37,1.278,0.709,high
asset_0845,112.04,0,27.22,75.03,0.752,0.799,high
asset_0846,56.29,0,21.88,64.41,1.478,0.559,medium
asset_0847,88.52,1,27.02,59.85,1.232,0.597,low
asset_0848,31.49,1,21.92,79.85,2.294,0.78,medium
asset_0849,69.17,0,36.08,73.67,1.225,0.646,high
asset_0850,46.25,1,82.82,82.34,0.864,0.797,low
asset_0851,41.19,1,32.56,71.6,1.093,0.929,medium
asset_0852,128.84,1,22.41,59.35,0.667,0.487,medium
asset_0853,40.98,0,6.19,80.7,1.466,0.865,high
asset_0854,65.7,0,69.21,68.67,1.593,0.74,high
asset_0855,26.51,1,33.5,75.08,3.71,0.786,high
asset_0856,85.19,1,26.89,66.17,0.923,0.909,medium
asset_0857,43.67,0,6.46,86.8,1.083,0.749,low
asset_0858,141.26,1,27.63,64.11,0.943,0.878,medium
asset_0859,16.7,1,31.32,68.96,1.344,0.896,low
asset_0860,73.34,1,21.96,72.97,1.45,0.718,medium
asset_0861,74.76,0,13.24,62.17,1.192,0.757,high
asset_0862,54.8,1,12.71,74.97,1.991,0.56,medium
asset_0863,46.09,1,69.75,86.51,0.925,0.539,medium
asset_0864,95.61,0,30.85,67.59,1.904,0.626,medium
asset_0865,69.64,1,21.95,75.56,1.556,0.79,high
asset_0866,167.27,0,29.91,47.26,1.215,0.506,medium
asset_0867,20.29,1,28.86,71.65,1.06,0.82,medium
asset_0868,28.28,1,12.32,69.18,3.64,0.905,low
asset_0869,34.41,1,45.69,64.63,0.846,0.704,medium
asset_0870,69.96,1,26.52,81.73,1.397,0.597,medium
asset_0871,42.97,1,31.07,69.06,0.871,0.806,medium
asset_0872,16.26,1,58.28,70.4,2.728,0.749,high
asset_0873,45.39,1,13.48,68.61,1.82,0.841,low
asset_0874,152.28,1,18.99,54.75,0.9,0.881,medium
asset_0875,61.45,0,34.41,61.81,1.538,0.875,low
asset_0876,21.55,1,45.25,80.65,1.372,0.679,medium
asset_0877,47.79,1,20.84,53.01,0.968,0.62,low
asset_0878,65.79,0,21.49,65.1,1.718,0.677,low
asset_0879,82.44,0,40.06,68.4,1.455,0.508,high
asset_0880,21.19,1,79.59,87.69,1.346,0.854,high
asset_0881,30.72,1,30.43,78.92,1.199,0.5,medium
asset_0882,92.4,1,18.96,66.99,1.483,0.819,medium
asset_0883,46.95,1,15.94,83.74,1.354,0.773,high
asset_0884,99.16,1,27.18,65.34,1.254,0.635,high
asset_0885,3.13,1,44.22,81.08,0.915,0.963,medium
asset_0886,6.85,1,96.85,59.77,2.617,0.845,low
asset_0887,20.56,1,24.82,81.66,0.761,0.788,medium
asset_0888,59.67,1,30.45,68.34,1.481,0.812,high
asset_0889,61.46,1,64.0,62.74,1.057,0.717,medium
asset_0890,26.11,1,34.12,70.05,2.696,0.725,medium
asset_0891,40.08,1,32.68,74.5,0.813,0.4,medium
asset_0892,47.6,1,57.92,67.55,0.877,0.841,medium
asset_0893,151.63,1,30.82,76.99,0.789,0.54,medium
asset_0894,62.62,1,16.7,66.75,1.413,0.903,medium
asset_0895,34.58,1,52.11,77.58,0.658,0.68,high
asset_0896,58.87,1,11.08,75.98,0.985,0.67,high
asset_0897,36.81,1,47.8,71.45,0.464,0.804,low
asset_0898,15.54,1,29.21,68.03,1.361,0.736,high
asset_0899,53.26,0,24.96,73.36,0.975,0.712,high
asset_0900,50.68,0,24.62,76.95,0.625,0.545,medium
asset_0901,77.64,1,27.12,90.56,1.991,0.675,medium
asset_0902,79.5,0,23.06,80.45,0.678,0.728,high
asset_0903,41.86,1,36.65,80.78,1.748,0.725,medium
asset_0904,23.54,1,23.49,99.8,0.891,0.842,low
asset_0905,27.56,1,8.65,76.64,2.511,0.612,medium
asset_0906,40.22,1,29.32,76.36,1.711,0.664,medium
asset_0907,26.78,1,8.3,78.34,0.776,0.395,medium
asset_0908,36.85,1,29.22,62.92,0.808,0.603,low
asset_0909,82.87,1,22.81,68.0,1.604,0.404,medium
asset_0910,41.39,0,46.07,67.44,1.085,0.676,medium
asset_0911,97.3,0,25.52,77.83,1.132,0.915,high
asset_0912,64.14,1,42.77,70.43,2.165,0.886,medium
